sample_id,avg_pH,avg_EC,avg_moisture,biomass,plant_height
0,5.2,97.83,8.605,5.7,101.09
1,5.2,97.83,8.605,3.4,82.25
2,5.2,97.83,4.557,0.4,32.91
3,5.2,97.83,8.605,3.6,77.71
4,5.2,97.83,1.086,2.5,79.82
5,6.7,97.83,1.086,2.5,71.51
6,6.7,97.83,8.605,2.3,53.59
7,5.2,97.83,1.086,0.8,37.72
8,7.3,97.83,4.557,1.5,58.91
9,6.7,97.83,1.086,1.8,67.84
10,4.9,97.83,1.086,1.7,65.32
11,4.9,97.83,8.605,4.9,72.63
12,5.2,97.83,14.237,3.0,94.52
13,6.7,97.83,8.605,4.4,90.5
14,6.7,97.83,14.237,6.5,103.99
15,5.2,97.83,8.605,5.3,100.16
16,6.7,1037.68,14.237,14.2,142.44
17,7.3,1037.68,8.605,9.7,122.0
18,4.9,1037.68,4.557,8.8,126.3
19,4.9,1037.68,8.605,10.7,129.0
20,5.2,1037.68,4.557,7.2,118.85
21,4.9,1037.68,1.086,3.8,92.7
22,6.7,1037.68,14.237,10.9,130.05
23,6.7,1037.68,8.605,10.8,131.09
24,6.7,1037.68,4.557,5.9,90.3
25,7.3,1037.68,1.086,3.7,67.65
26,7.3,1037.68,8.605,11.9,134.5
27,6.7,1037.68,14.237,11.1,110.23
28,7.3,1037.68,4.557,6.3,108.7
29,6.7,1037.68,8.605,12.1,112.81
30,7.3,1037.68,14.237,13.6,125.68
31,7.3,1037.68,4.557,6.8,116.5
32,7.3,429.71,4.557,7.4,102.51
33,7.3,429.71,14.237,13.7,130.82
34,7.3,429.71,14.237,9.7,101.04
35,6.7,429.71,1.086,4.0,94.1
36,5.2,429.71,1.086,2.3,74.6
37,6.7,429.71,14.237,13.4,151.45
38,7.3,429.71,8.605,9.7,134.5
39,5.2,429.71,14.237,14.5,143.3
40,5.2,429.71,8.605,11.8,132.6
41,6.7,429.71,14.237,10.3,103.16
42,4.9,429.71,14.237,11.2,99.15
43,4.9,429.71,14.237,15.3,147.14
44,5.2,429.71,4.557,6.9,107.26
45,4.9,429.71,14.237,11.0,87.53
46,5.2,429.71,1.086,2.2,58.92
47,4.9,429.71,1.086,2.2,71.31
48,4.9,429.71,1.086,1.8,59.57
49,4.9,2605.51,8.605,9.5,99.36
50,4.9,2605.51,1.086,2.6,61.89
51,7.3,2605.51,4.557,8.4,126.28
52,7.3,2605.51,4.557,6.4,110.58
53,7.3,2605.51,14.237,12.7,129.88
54,5.2,2605.51,8.605,0.4,30.52
55,6.7,2605.51,1.086,1.3,56.74
56,5.2,2605.51,4.557,5.5,91.13
57,4.9,2605.51,4.557,6.9,114.61
58,6.7,2605.51,1.086,2.1,76.66
59,4.9,2605.51,4.557,6.0,96.16
60,4.9,2605.51,14.237,6.6,81.28
61,4.9,2605.51,4.557,2.5,63.43
62,7.3,2605.51,1.086,2.1,47.64
63,7.3,2605.51,4.557,2.7,67.13
